Date,Close/Last,Volume,Open,High,Low
04/03/2024,$630.08,2931231,$612.75,$630.41,$611.50
04/02/2024,$614.21,2029217,$611.00,$615.03,$605.51
04/01/2024,$614.31,2115925,$608.00,$615.11,$605.57
03/28/2024,$607.33,3708803,$614.99,$615.00,$601.59
03/27/2024,$613.53,2628267,$629.01,$631.35,$610.73
03/26/2024,$629.24,2804453,$625.20,$634.39,$619.18
03/25/2024,$627.46,1803264,$627.90,$630.46,$623.16
03/22/2024,$628.01,2135688,$624.16,$629.05,$621.00
03/21/2024,$622.71,2507671,$630.65,$634.36,$622.33
03/20/2024,$627.69,2639509,$619.95,$629.51,$618.34
03/19/2024,$620.74,2142613,$615.62,$621.28,$608.00
03/18/2024,$618.39,3344244,$613.56,$627.41,$610.45
03/15/2024,$605.88,6671629,$622.92,$622.92,$603.82
03/14/2024,$613.01,3120452,$615.00,$620.80,$607.35
03/13/2024,$609.45,2192094,$613.37,$614.85,$607.21
03/12/2024,$611.08,2821631,$600.21,$615.30,$596.27
03/11/2024,$600.93,2500940,$608.08,$611.00,$600.37
03/08/2024,$604.82,2777243,$608.27,$616.09,$600.84
03/07/2024,$608.51,2742805,$599.34,$610.53,$595.90
03/06/2024,$597.69,2469592,$602.99,$607.93,$593.56
03/05/2024,$598.50,3849563,$610.10,$610.91,$592.00
03/04/2024,$615.83,3020306,$621.56,$624.42,$615.08
03/01/2024,$619.34,4270305,$599.81,$620.28,$599.50
02/29/2024,$602.92,3572082,$604.25,$604.52,$595.16
02/28/2024,$596.48,2605242,$595.79,$598.17,$590.01
02/27/2024,$601.67,4489355,$595.00,$605.36,$592.33
02/26/2024,$587.65,2393712,$583.56,$590.75,$583.27
02/23/2024,$583.56,2568852,$586.40,$592.43,$579.82
02/22/2024,$588.47,3526597,$582.75,$590.85,$578.89
02/21/2024,$573.35,2281143,$573.51,$575.78,$567.32
02/20/2024,$575.13,3124236,$580.18,$586.00,$569.66
02/16/2024,$583.95,4325689,$596.95,$597.00,$577.46
02/15/2024,$593.46,5220938,$581.91,$593.77,$580.32
02/14/2024,$579.33,5634226,$567.26,$581.25,$564.34
02/13/2024,$554.52,3511453,$550.80,$559.20,$549.00
02/12/2024,$557.85,3608487,$560.36,$568.44,$557.00
02/09/2024,$561.32,3055698,$565.00,$566.00,$558.10
02/08/2024,$558.53,3175468,$560.55,$563.70,$555.74
02/07/2024,$559.30,4373591,$558.16,$567.80,$554.98
02/06/2024,$555.88,2840300,$564.12,$566.34,$554.37
02/05/2024,$562.06,4143099,$562.47,$575.75,$557.20
02/02/2024,$564.64,4032843,$564.52,$567.80,$562.37
02/01/2024,$567.51,3174002,$567.02,$572.66,$563.83
01/31/2024,$564.11,4857599,$562.85,$572.15,$562.05
01/30/2024,$562.85,6181798,$567.32,$570.88,$560.82
01/29/2024,$575.79,6905390,$571.35,$578.55,$562.68
01/26/2024,$570.42,12770570,$561.81,$579.64,$558.43
01/25/2024,$562.00,9451915,$551.95,$563.46,$548.46
01/24/2024,$544.87,26432800,$537.75,$562.50,$537.07
01/23/2024,$492.19,15506020,$492.00,$498.96,$481.40
01/22/2024,$485.71,5212309,$487.55,$489.80,$479.90
01/19/2024,$482.95,5672351,$484.98,$485.67,$476.06
01/18/2024,$485.31,4054399,$480.03,$485.77,$478.02
01/17/2024,$480.33,4894593,$484.50,$486.21,$475.26
01/16/2024,$481.24,4678974,$490.00,$494.15,$478.02
01/12/2024,$492.16,5003718,$500.51,$500.79,$490.61
01/11/2024,$492.23,7993265,$492.54,$503.41,$483.82
01/10/2024,$478.33,4342448,$481.60,$487.00,$472.95
01/09/2024,$482.09,3526757,$475.53,$485.09,$473.80
01/08/2024,$485.03,3675775,$473.89,$485.24,$473.65
01/05/2024,$474.06,2631250,$476.50,$479.55,$471.80
01/04/2024,$474.67,3636513,$472.98,$480.74,$466.53
01/03/2024,$470.26,3443694,$467.32,$475.05,$465.77
01/02/2024,$468.50,5049423,$483.19,$484.65,$461.86
12/29/2023,$486.88,2740555,$490.37,$492.23,$481.94
12/28/2023,$490.51,1710492,$492.00,$492.89,$489.07
12/27/2023,$491.79,2561330,$491.24,$494.02,$489.25
12/26/2023,$491.19,2034517,$489.39,$491.48,$486.38
12/22/2023,$486.76,2702672,$494.00,$496.02,$485.45
12/21/2023,$491.61,2756225,$492.66,$494.40,$486.77
12/20/2023,$489.27,4563690,$492.00,$500.89,$488.39
12/19/2023,$495.02,3849014,$488.40,$496.14,$484.06
12/18/2023,$486.12,6410660,$476.30,$492.04,$475.10
12/15/2023,$472.06,7840992,$467.30,$473.00,$467.30
12/14/2023,$469.83,5176437,$480.36,$480.76,$464.76
12/13/2023,$479.98,5820192,$461.98,$481.25,$461.98
12/12/2023,$463.00,3302660,$465.23,$465.61,$459.20
12/11/2023,$459.89,4929662,$459.36,$470.65,$457.21
12/08/2023,$453.76,3458384,$450.76,$455.50,$450.76
12/07/2023,$452.00,3506722,$450.85,$452.89,$448.32
12/06/2023,$446.73,4178755,$460.00,$460.50,$445.73
12/05/2023,$455.15,3380674,$450.70,$456.39,$449.58
12/04/2023,$453.90,5157713,$460.99,$461.20,$451.20
12/01/2023,$465.74,4341471,$473.17,$475.23,$464.60
11/30/2023,$473.97,4287349,$475.31,$478.59,$470.42
11/29/2023,$477.19,2855540,$479.00,$480.99,$474.49
11/28/2023,$479.00,2890164,$478.11,$480.50,$475.95
11/27/2023,$479.17,3625924,$479.03,$482.00,$475.35
11/24/2023,$479.56,1404732,$477.11,$480.40,$475.20
11/22/2023,$478.00,2843891,$476.80,$482.70,$476.56
11/21/2023,$474.95,2997723,$472.63,$477.02,$471.21
11/20/2023,$474.47,3621095,$465.40,$476.76,$465.40
11/17/2023,$465.91,2800214,$466.95,$467.65,$462.76
11/16/2023,$466.95,3655974,$463.00,$467.28,$459.65
11/15/2023,$461.94,5035283,$452.81,$462.75,$452.45
11/14/2023,$448.65,4060884,$448.78,$454.08,$445.64
11/13/2023,$444.62,2896143,$447.25,$448.43,$442.60
11/10/2023,$447.24,4443284,$437.48,$447.48,$435.51
11/09/2023,$435.15,2735507,$438.03,$440.38,$434.35
11/08/2023,$436.65,2356845,$435.00,$438.07,$433.68
11/07/2023,$434.61,3291064,$436.18,$437.64,$431.00
11/06/2023,$434.74,3003235,$434.38,$435.03,$429.61
11/03/2023,$432.36,3667051,$428.76,$434.82,$425.53
11/02/2023,$424.71,4475984,$421.17,$426.69,$417.10
11/01/2023,$420.19,4806108,$414.77,$420.60,$414.18
10/31/2023,$411.69,3877623,$409.24,$412.52,$404.63
10/30/2023,$410.08,5317147,$402.35,$412.82,$399.41
10/27/2023,$397.87,4997612,$406.42,$410.21,$395.62
10/26/2023,$403.54,6849702,$411.42,$417.31,$401.54
10/25/2023,$411.25,6299587,$416.02,$418.84,$410.11
10/24/2023,$413.73,6459247,$409.68,$416.69,$408.39
10/23/2023,$406.84,7390032,$403.32,$407.54,$398.52
10/20/2023,$400.96,12782920,$405.63,$410.64,$398.01
10/19/2023,$401.77,28074420,$404.74,$408.95,$392.26
10/18/2023,$346.19,11429640,$351.00,$354.79,$344.73
10/17/2023,$355.72,5908412,$361.10,$362.70,$353.89
10/16/2023,$360.82,5128947,$356.21,$363.08,$354.77
10/13/2023,$355.68,6316320,$355.64,$358.93,$352.05
10/12/2023,$361.20,7376086,$366.48,$368.83,$359.05
10/11/2023,$365.93,9151395,$372.78,$377.81,$365.34
10/10/2023,$373.32,7288939,$385.58,$388.70,$372.25
10/09/2023,$385.95,3299802,$378.05,$387.17,$377.76
10/06/2023,$381.51,4778118,$368.43,$382.52,$367.77
10/05/2023,$372.59,5034773,$378.01,$378.60,$367.24
10/04/2023,$376.90,4303658,$376.50,$380.22,$373.58
10/03/2023,$376.75,8878134,$377.11,$394.90,$372.85
10/02/2023,$380.33,3102101,$377.48,$384.81,$376.80
09/29/2023,$377.60,4205298,$380.00,$382.58,$375.35
09/28/2023,$376.36,4369906,$375.60,$378.96,$371.10
09/27/2023,$377.59,3843521,$382.40,$384.22,$376.25
09/26/2023,$379.25,4089392,$382.88,$384.56,$377.36
09/25/2023,$384.80,3757278,$382.90,$386.62,$380.81
09/22/2023,$379.81,3699796,$385.00,$386.88,$378.36
09/21/2023,$384.15,5556388,$386.50,$395.90,$383.42
09/20/2023,$386.30,3866619,$397.05,$397.99,$386.12
09/19/2023,$396.20,4080054,$392.84,$398.23,$390.25
09/18/2023,$394.40,4704706,$395.50,$399.47,$392.60
09/15/2023,$396.94,9116745,$401.00,$404.70,$395.03
09/14/2023,$400.49,10709040,$410.40,$411.39,$400.00
09/13/2023,$412.24,11843030,$435.50,$438.40,$410.69
09/12/2023,$434.69,3124024,$442.85,$445.44,$434.12
09/11/2023,$445.36,2913767,$443.07,$449.89,$442.75
09/08/2023,$442.80,2704353,$443.56,$446.81,$438.85
09/07/2023,$443.14,2922676,$441.15,$444.60,$436.70
09/06/2023,$445.76,3862274,$448.61,$451.39,$440.49
09/05/2023,$448.68,6155865,$438.39,$453.45,$438.00
09/01/2023,$439.88,4793379,$437.73,$445.50,$435.93
08/31/2023,$433.68,3802954,$431.23,$437.15,$431.23
08/30/2023,$434.67,3625380,$430.85,$438.16,$428.35
08/29/2023,$429.99,4486703,$416.00,$432.17,$414.50
08/28/2023,$418.06,2928613,$418.04,$419.83,$413.27
08/25/2023,$416.03,5390933,$412.00,$419.25,$407.56
08/24/2023,$406.93,5687799,$425.41,$427.59,$406.17
08/23/2023,$427.55,8174732,$418.40,$437.02,$417.71
08/22/2023,$413.17,3603273,$409.00,$415.74,$407.40
08/21/2023,$408.29,3861579,$402.23,$409.61,$399.50
08/18/2023,$404.53,4312196,$399.33,$406.52,$398.15
08/17/2023,$403.00,6031469,$415.00,$415.24,$401.58
08/16/2023,$415.45,3967021,$423.73,$424.51,$415.25
08/15/2023,$423.70,3367998,$424.41,$429.12,$421.04
08/14/2023,$427.78,3965963,$421.99,$428.85,$418.78
08/11/2023,$421.66,3927914,$428.98,$430.63,$421.33
08/10/2023,$429.98,5467607,$431.12,$438.12,$428.69
08/09/2023,$428.90,3846639,$439.74,$440.62,$427.59
08/08/2023,$438.30,3767195,$440.36,$443.57,$435.10
08/07/2023,$440.76,4781303,$436.46,$441.11,$428.91
08/04/2023,$431.60,5441811,$433.06,$436.50,$426.27
08/03/2023,$431.00,6259309,$427.80,$441.93,$427.19
08/02/2023,$429.70,4921781,$435.23,$435.56,$426.56
08/01/2023,$438.62,5725544,$437.37,$445.25,$431.40
07/31/2023,$438.97,6587619,$426.51,$439.13,$426.30
07/28/2023,$425.78,6428073,$415.56,$427.47,$413.76
07/27/2023,$413.17,6594466,$426.90,$427.52,$411.88
07/26/2023,$422.67,6009242,$424.20,$425.26,$415.59
07/25/2023,$427.70,4859843,$427.18,$430.88,$426.13
07/24/2023,$428.37,8282434,$425.00,$428.64,$419.19
07/21/2023,$427.50,17340030,$437.37,$438.24,$423.19
07/20/2023,$437.42,23989710,$447.00,$448.50,$432.00
07/19/2023,$477.59,20996480,$476.86,$485.00,$470.00
07/18/2023,$474.80,13196880,$451.00,$478.15,$448.78
07/17/2023,$450.05,6901141,$445.57,$456.68,$445.11
07/14/2023,$441.91,7195860,$452.79,$456.48,$439.70
07/13/2023,$450.38,6157475,$447.00,$451.67,$441.18
07/12/2023,$444.05,5731657,$444.55,$445.41,$437.75
07/11/2023,$440.21,4574559,$438.65,$440.80,$431.04
07/10/2023,$441.71,4251737,$438.52,$444.41,$436.82
07/07/2023,$438.10,4165144,$438.60,$442.33,$435.84
