Date,Close/Last,Volume,Open,High,Low
04/03/2024,$59.61,1791760,$59.34,$60.15,$59.29
04/02/2024,$59.38,1906775,$60.08,$60.16,$59.19
04/01/2024,$60.24,1911409,$60.36,$60.47,$59.87
03/28/2024,$60.38,3079479,$60.78,$60.82,$60.13
03/27/2024,$60.64,1946495,$59.93,$60.64,$59.80
03/26/2024,$59.63,1981560,$60.04,$60.09,$59.63
03/25/2024,$59.60,3010220,$59.79,$60.125,$59.535
03/22/2024,$59.71,3832197,$60.20,$60.36,$59.52
03/21/2024,$60.19,3971126,$60.31,$60.68,$59.905
03/20/2024,$60.13,2240434,$59.29,$60.235,$59.19
03/19/2024,$59.54,2003604,$59.07,$59.72,$59.06
03/18/2024,$59.26,2216042,$60.12,$60.155,$59.205
03/15/2024,$60.06,2248371,$59.94,$60.46,$59.77
03/14/2024,$60.05,1547343,$60.75,$60.86,$59.705
03/13/2024,$60.81,1381786,$60.66,$61.02,$60.48
03/12/2024,$60.42,1405062,$60.60,$60.72,$60.09
03/11/2024,$60.49,1231914,$60.04,$60.56,$59.965
03/08/2024,$60.33,1839562,$60.96,$61.00,$60.13
03/07/2024,$60.80,3518369,$60.68,$60.93,$60.34
03/06/2024,$60.40,4098911,$59.73,$60.51,$59.59
03/05/2024,$59.24,3238410,$59.10,$59.72,$59.01
03/04/2024,$59.08,2146666,$59.85,$59.97,$59.04
03/01/2024,$59.99,2337151,$59.75,$60.37,$59.35
02/29/2024,$60.00,2660127,$60.50,$60.75,$59.30
02/28/2024,$59.41,1430104,$59.28,$59.8495,$59.25
02/27/2024,$59.65,1761410,$59.78,$60.00,$59.39
02/26/2024,$59.78,2411672,$60.20,$60.32,$59.29
02/23/2024,$60.44,2907880,$60.23,$60.58,$60.10
02/22/2024,$60.02,3532564,$59.86,$60.25,$59.65
02/21/2024,$59.47,3214876,$59.56,$59.68,$59.25
02/20/2024,$59.65,4372332,$59.73,$60.10,$59.485
02/16/2024,$59.94,3422823,$59.79,$60.10,$59.61
02/15/2024,$59.76,4419888,$58.96,$59.92,$58.91
02/14/2024,$58.66,3924333,$58.29,$58.79,$58.23
02/13/2024,$57.91,3628419,$58.62,$58.90,$57.31
02/12/2024,$59.40,2091511,$59.25,$59.815,$59.13
02/09/2024,$59.36,2163737,$59.07,$59.46,$58.79
02/08/2024,$59.08,2581039,$59.06,$59.23,$58.42
02/07/2024,$59.25,3008960,$59.71,$59.80,$59.18
02/06/2024,$59.82,2742549,$59.29,$60.00,$59.16
02/05/2024,$59.20,2541984,$59.87,$59.98,$59.115
02/02/2024,$60.26,3204501,$60.13,$60.33,$59.76
02/01/2024,$60.54,2284840,$60.60,$60.97,$60.18
01/31/2024,$60.73,1744466,$61.55,$61.91,$60.6749
01/30/2024,$61.75,2335016,$61.81,$61.95,$61.33
01/29/2024,$61.75,4807678,$61.12,$61.78,$60.77
01/26/2024,$61.15,3217327,$61.13,$61.50,$60.94
01/25/2024,$61.25,1723092,$61.23,$61.27,$60.68
01/24/2024,$60.80,4215251,$61.11,$61.25,$60.57
01/23/2024,$60.55,1451483,$60.64,$61.03,$60.1125
01/22/2024,$60.62,5973588,$60.63,$60.72,$60.16
01/19/2024,$60.42,1740884,$59.52,$60.48,$59.24
01/18/2024,$59.43,1829049,$59.33,$59.50,$58.91
01/17/2024,$59.11,2991440,$59.10,$59.41,$58.58
01/16/2024,$59.61,2386759,$60.05,$60.31,$59.435
01/12/2024,$60.05,2268629,$60.47,$60.95,$59.89
01/11/2024,$60.30,3226712,$61.00,$61.21,$59.80
01/10/2024,$61.23,2600079,$61.90,$62.33,$61.19
01/09/2024,$61.98,6263971,$63.81,$63.97,$61.93
01/08/2024,$65.05,1676749,$64.28,$65.12,$64.21
01/05/2024,$64.42,8294708,$64.10,$64.86,$63.94
01/04/2024,$64.10,1279086,$63.63,$64.37,$63.45
01/03/2024,$63.60,2502146,$63.85,$63.93,$63.31
01/02/2024,$64.27,2668372,$64.04,$64.685,$63.87
12/29/2023,$64.62,1290596,$64.30,$64.845,$64.11
12/28/2023,$64.44,2547899,$64.68,$65.05,$64.25
12/27/2023,$64.80,5171813,$64.54,$65.08,$64.54
12/26/2023,$64.76,650901,$64.29,$64.78,$64.06
12/22/2023,$64.18,1931702,$63.82,$64.65,$63.82
12/21/2023,$63.80,3403639,$62.89,$63.88,$62.87
12/20/2023,$62.36,2959759,$63.20,$63.54,$62.33
12/19/2023,$63.45,2828008,$62.35,$63.495,$62.23
12/18/2023,$61.97,1984719,$62.21,$62.53,$61.95
12/15/2023,$62.40,3082245,$63.44,$63.44,$62.37
12/14/2023,$62.92,7555467,$61.82,$62.99,$61.81
12/13/2023,$61.19,4227449,$59.75,$61.19,$59.23
12/12/2023,$59.63,3189777,$60.14,$60.17,$59.38
12/11/2023,$60.25,5476132,$59.77,$60.30,$59.51
12/08/2023,$59.62,4397828,$59.51,$60.11,$59.09
12/07/2023,$59.35,7663165,$60.36,$60.51,$58.71
12/06/2023,$60.49,2227687,$60.65,$61.11,$60.45
12/05/2023,$60.33,2260954,$60.33,$60.87,$60.09
12/04/2023,$60.73,2909489,$60.20,$61.01,$59.99
12/01/2023,$60.70,4463192,$60.96,$61.19,$60.425
11/30/2023,$60.99,3383249,$61.33,$61.65,$60.08
11/29/2023,$61.30,1600430,$60.93,$61.775,$60.83
11/28/2023,$60.89,1524298,$60.57,$60.995,$60.10
11/27/2023,$61.00,1517665,$61.00,$61.15,$60.58
11/24/2023,$61.49,847076,$60.97,$61.535,$60.78
11/22/2023,$60.92,3454452,$60.93,$61.03,$60.275
11/21/2023,$61.49,2281453,$62.06,$62.33,$61.43
11/20/2023,$62.01,1629346,$61.68,$62.125,$61.40
11/17/2023,$61.82,1703404,$61.27,$61.845,$61.27
11/16/2023,$60.90,1341403,$61.00,$61.19,$60.6701
11/15/2023,$61.29,1692899,$61.39,$61.73,$61.19
11/14/2023,$61.05,2222379,$60.60,$61.295,$60.60
11/13/2023,$59.85,1909779,$59.22,$60.15,$59.18
11/10/2023,$59.40,1830320,$59.09,$59.4774,$58.73
11/09/2023,$58.97,3332179,$59.05,$59.70,$58.81
11/08/2023,$58.69,1608151,$58.67,$59.09,$58.38
11/07/2023,$58.79,1595144,$58.97,$59.02,$58.49
11/06/2023,$59.39,2075675,$59.47,$59.90,$58.95
11/03/2023,$59.23,6883904,$58.88,$59.57,$58.65
11/02/2023,$58.08,3390685,$56.65,$58.16,$56.64
11/01/2023,$55.91,4049376,$56.03,$56.46,$55.51
10/31/2023,$55.84,1657744,$55.95,$55.97,$55.34
10/30/2023,$55.83,2293090,$55.48,$56.165,$55.31
10/27/2023,$54.90,3470226,$55.96,$56.22,$54.69
10/26/2023,$55.97,4216797,$55.60,$56.22,$55.32
10/25/2023,$55.77,5716488,$55.48,$56.245,$55.22
10/24/2023,$55.94,6184271,$57.45,$57.52,$55.44
10/23/2023,$57.37,4795180,$57.13,$58.53,$56.99
10/20/2023,$57.40,6069809,$58.01,$58.23,$57.38
10/19/2023,$58.24,1882383,$58.51,$59.19,$58.21
10/18/2023,$58.62,2644767,$59.52,$59.74,$58.605
10/17/2023,$59.94,2182811,$59.05,$60.24,$58.97
10/16/2023,$59.69,1513099,$59.29,$59.855,$58.925
10/13/2023,$58.82,1648366,$59.40,$59.84,$58.72
10/12/2023,$59.09,1989012,$59.78,$59.92,$58.735
10/11/2023,$59.88,3655214,$59.58,$60.31,$59.38
10/10/2023,$59.31,3172499,$58.75,$59.63,$58.72
10/09/2023,$58.38,1244531,$57.81,$58.46,$57.575
10/06/2023,$58.40,3718029,$57.84,$58.74,$56.86
10/05/2023,$57.94,3202250,$57.19,$57.97,$57.07
10/04/2023,$57.81,4132256,$58.14,$58.24,$56.99
10/03/2023,$58.10,12850850,$58.25,$58.41,$57.6494
10/02/2023,$58.82,3409270,$60.19,$60.25,$58.74
09/29/2023,$60.26,2015202,$61.43,$61.44,$60.19
09/28/2023,$60.74,2001889,$60.40,$61.20,$60.28
09/27/2023,$60.17,3057201,$60.33,$60.53,$59.69
